run_id,t,agent_id,agent_type,action_type,price_cperkwh,qty_kwh,offers_seen,solver_calls,learners_steps,wall_ms,mem_mb
cell,250,satisficer_197,Satisficer,post,,,0,0,0,0.010,61.61
cell,250,satisficer_198,Satisficer,post,,,0,0,0,0.002,61.61
cell,250,satisficer_199,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_0,Satisficer,post,,,0,0,0,0.004,61.61
cell,251,satisficer_1,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_2,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_3,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_4,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_5,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_6,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_7,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_8,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_9,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_10,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_11,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_12,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_13,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_14,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_15,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_16,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_17,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_18,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_19,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_20,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_21,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_22,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_23,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_24,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_25,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_26,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_27,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_28,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_29,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_30,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_31,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_32,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_33,Satisficer,post,,,0,0,0,0.004,61.61
cell,251,satisficer_34,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_35,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_36,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_37,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_38,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_39,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_40,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_41,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_42,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_43,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_44,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_45,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_46,Satisficer,post,,,0,0,0,0.003,61.61
cell,251,satisficer_47,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_48,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_49,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_50,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_51,Satisficer,post,,,0,0,0,0.003,61.61
cell,251,satisficer_52,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_53,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_54,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_55,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_56,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_57,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_58,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_59,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_60,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_61,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_62,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_63,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_64,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_65,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_66,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_67,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_68,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_69,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_70,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_71,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_72,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_73,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_74,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_75,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_76,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_77,Satisficer,post,,,0,0,0,0.003,61.61
cell,251,satisficer_78,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_79,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_80,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_81,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_82,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_83,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_84,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_85,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_86,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_87,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_88,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_89,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_90,Satisficer,post,,,0,0,0,0.362,61.61
cell,251,satisficer_91,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_92,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_93,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_94,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_95,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_96,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_97,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_98,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_99,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_100,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_101,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_102,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_103,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_104,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_105,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_106,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_107,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_108,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_109,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_110,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_111,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_112,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_113,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_114,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_115,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_116,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_117,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_118,Satisficer,post,,,0,0,0,0.003,61.61
cell,251,satisficer_119,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_120,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_121,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_122,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_123,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_124,Satisficer,post,,,0,0,0,0.003,61.61
cell,251,satisficer_125,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_126,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_127,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_128,Satisficer,post,,,0,0,0,0.003,61.61
cell,251,satisficer_129,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_130,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_131,Satisficer,post,,,0,0,0,0.003,61.61
cell,251,satisficer_132,Satisficer,post,,,0,0,0,0.003,61.61
cell,251,satisficer_133,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_134,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_135,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_136,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_137,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_138,Satisficer,post,,,0,0,0,0.010,61.61
cell,251,satisficer_139,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_140,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_141,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_142,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_143,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_144,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_145,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_146,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_147,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_148,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_149,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_150,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_151,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_152,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_153,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_154,Satisficer,post,,,0,0,0,0.010,61.61
cell,251,satisficer_155,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_156,Satisficer,post,,,0,0,0,0.003,61.61
cell,251,satisficer_157,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_158,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_159,Satisficer,post,,,0,0,0,0.012,61.61
cell,251,satisficer_160,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_161,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_162,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_163,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_164,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_165,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_166,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_167,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_168,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_169,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_170,Satisficer,post,,,0,0,0,0.011,61.61
cell,251,satisficer_171,Satisficer,post,,,0,0,0,0.010,61.61
cell,251,satisficer_172,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_173,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_174,Satisficer,post,,,0,0,0,0.010,61.61
cell,251,satisficer_175,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_176,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_177,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_178,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_179,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_180,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_181,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_182,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_183,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_184,Satisficer,post,,,0,0,0,0.010,61.61
cell,251,satisficer_185,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_186,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_187,Satisficer,post,,,0,0,0,0.009,61.61
cell,251,satisficer_188,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_189,Satisficer,post,,,0,0,0,0.003,61.61
cell,251,satisficer_190,Satisficer,post,,,0,0,0,0.003,61.61
cell,251,satisficer_191,Satisficer,post,,,0,0,0,0.003,61.61
cell,251,satisficer_192,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_193,Satisficer,post,,,0,0,0,0.023,61.61
cell,251,satisficer_194,Satisficer,post,,,0,0,0,0.009,61.61
cell,251,satisficer_195,Satisficer,post,,,0,0,0,0.010,61.61
cell,251,satisficer_196,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_197,Satisficer,post,,,0,0,0,0.001,61.61
cell,251,satisficer_198,Satisficer,post,,,0,0,0,0.002,61.61
cell,251,satisficer_199,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_0,Satisficer,post,,,0,0,0,0.005,61.61
cell,252,satisficer_1,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_2,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_3,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_4,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_5,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_6,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_7,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_8,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_9,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_10,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_11,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_12,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_13,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_14,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_15,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_16,Satisficer,post,,,0,0,0,0.001,61.61
cell,252,satisficer_17,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_18,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_19,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_20,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_21,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_22,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_23,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_24,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_25,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_26,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_27,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_28,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_29,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_30,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_31,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_32,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_33,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_34,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_35,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_36,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_37,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_38,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_39,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_40,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_41,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_42,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_43,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_44,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_45,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_46,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_47,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_48,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_49,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_50,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_51,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_52,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_53,Satisficer,post,,,0,0,0,0.001,61.61
cell,252,satisficer_54,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_55,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_56,Satisficer,post,,,0,0,0,0.003,61.61
cell,252,satisficer_57,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_58,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_59,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_60,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_61,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_62,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_63,Satisficer,post,,,0,0,0,0.003,61.61
cell,252,satisficer_64,Satisficer,post,,,0,0,0,0.018,61.61
cell,252,satisficer_65,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_66,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_67,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_68,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_69,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_70,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_71,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_72,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_73,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_74,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_75,Satisficer,post,,,0,0,0,0.001,61.61
cell,252,satisficer_76,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_77,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_78,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_79,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_80,Satisficer,post,,,0,0,0,0.003,61.61
cell,252,satisficer_81,Satisficer,post,,,0,0,0,0.001,61.61
cell,252,satisficer_82,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_83,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_84,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_85,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_86,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_87,Satisficer,post,,,0,0,0,0.001,61.61
cell,252,satisficer_88,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_89,Satisficer,post,,,0,0,0,0.003,61.61
cell,252,satisficer_90,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_91,Satisficer,post,,,0,0,0,0.003,61.61
cell,252,satisficer_92,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_93,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_94,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_95,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_96,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_97,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_98,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_99,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_100,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_101,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_102,Satisficer,post,,,0,0,0,0.020,61.61
cell,252,satisficer_103,Satisficer,post,,,0,0,0,0.003,61.61
cell,252,satisficer_104,Satisficer,post,,,0,0,0,0.012,61.61
cell,252,satisficer_105,Satisficer,post,,,0,0,0,0.010,61.61
cell,252,satisficer_106,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_107,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_108,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_109,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_110,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_111,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_112,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_113,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_114,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_115,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_116,Satisficer,post,,,0,0,0,0.035,61.61
cell,252,satisficer_117,Satisficer,post,,,0,0,0,0.003,61.61
cell,252,satisficer_118,Satisficer,post,,,0,0,0,0.003,61.61
cell,252,satisficer_119,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_120,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_121,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_122,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_123,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_124,Satisficer,post,,,0,0,0,0.011,61.61
cell,252,satisficer_125,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_126,Satisficer,post,,,0,0,0,0.014,61.61
cell,252,satisficer_127,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_128,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_129,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_130,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_131,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_132,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_133,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_134,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_135,Satisficer,post,,,0,0,0,0.001,61.61
cell,252,satisficer_136,Satisficer,post,,,0,0,0,0.003,61.61
cell,252,satisficer_137,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_138,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_139,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_140,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_141,Satisficer,post,,,0,0,0,0.003,61.61
cell,252,satisficer_142,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_143,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_144,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_145,Satisficer,post,,,0,0,0,0.003,61.61
cell,252,satisficer_146,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_147,Satisficer,post,,,0,0,0,0.003,61.61
cell,252,satisficer_148,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_149,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_150,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_151,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_152,Satisficer,post,,,0,0,0,0.008,61.61
cell,252,satisficer_153,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_154,Satisficer,post,,,0,0,0,0.003,61.61
cell,252,satisficer_155,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_156,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_157,Satisficer,post,,,0,0,0,0.001,61.61
cell,252,satisficer_158,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_159,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_160,Satisficer,post,,,0,0,0,0.003,61.61
cell,252,satisficer_161,Satisficer,post,,,0,0,0,0.003,61.61
cell,252,satisficer_162,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_163,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_164,Satisficer,post,,,0,0,0,0.003,61.61
cell,252,satisficer_165,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_166,Satisficer,post,,,0,0,0,0.004,61.61
cell,252,satisficer_167,Satisficer,post,,,0,0,0,0.014,61.61
cell,252,satisficer_168,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_169,Satisficer,post,,,0,0,0,0.003,61.61
cell,252,satisficer_170,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_171,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_172,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_173,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_174,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_175,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_176,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_177,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_178,Satisficer,post,,,0,0,0,0.003,61.61
cell,252,satisficer_179,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_180,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_181,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_182,Satisficer,post,,,0,0,0,0.002,61.61
cell,252,satisficer_183,Satisficer,post,,,0,0,0,0.013,61.61
